          created_by           | nr_objects 
 ceetee                        |          2
 S. Roubal                     |          2
 Lea Fluri                     |          2
 geronimo                      |          2
 antoine                       |          2
 Tomi                          |          2
 LB                            |          2
 Biber                         |          2
 Mirjam Hofmann                |          2
 Philip                        |          2
 mae                           |          2
 mb                            |          2
 falstaff                      |          2
 James                         |          2
 snoopy                        |          2
 jensen                        |          2
 Chrisi                        |          2
 S. Ambauen                    |          2
 cd                            |          2
 ks                            |          2
 Maria Bühler                  |          2
 S                             |          2
 Thisss                        |          2
 mbig                          |          2
 Michel Giovanoli              |          2
 tomix                         |          2
 Mia                           |          2
 smf68                         |          2
 Markus Rohrer                 |          2
 Simon Furgler                 |          2
 pp                            |          1
 David Ernst                   |          1
 Gloor Peter                   |          1
 Stephan Müller                |          1
 belloni alessandro            |          1
 warroing                      |          1
 tripleX                       |          1
 B.Thomi                       |          1
 Attractif Ehrsam Priska       |          1
 Markus und Marie Carisch      |          1
 sz                            |          1
 Martino B.                    |          1
 nt                            |          1
 testadress                    |          1
 csv                           |          1
 rtgjhs                        |          1
 fabio                         |          1
 Fabian Huber                  |          1
 märchy                        |          1
 LiKu                          |          1
 Riesen                        |          1
 FBERG                         |          1
 albiez                        |          1
 Pasca Steck                   |          1
 Lgum                          |          1
 pva                           |          1
 Hasenweg                      |          1
 ds                            |          1
 Livia Kuhn                    |          1
 Renè Sonney                   |          1
 baumann                       |          1
 Roger Dudler                  |          1
 STG                           |          1
 huggera                       |          1
 ma                            |          1
 N.P.                          |          1
 fhkaernten                    |          1
 Lan                           |          1
 0                             |          1
 pg                            |          1
 kartographics                 |          1
 Andreas                       |          1
 Benjamin                      |          1
 M. Pfäffli                    |          1
 Dominique                     |          1
 pb                            |          1
 GS                            |          1
 Christoph Bhend               |          1
 Fritz                         |          1
 B. Philipona                  |          1
 best0001                      |          1
 dgr                           |          1
 jbe                           |          1
 corluka Bettina               |          1
 mu                            |          1
 gg                            |          1
 Lukas Rüdin                   |          1
 Klaus Budmiger                |          1
 Jost Schmid                   |          1
 Raphael Guler                 |          1
 Pimfeld                       |          1
 Günthardt                     |          1
 Beatrice Zobrist              |          1
 Stübi                         |          1
 S.B.                          |          1
 wargo                         |          1
 Cvach                         |          1
 Tric                          |          1
 Anonymus                      |          1
 090528_tst                    |          1
 sclarida GmbH                 |          1
 manyi_de                      |          1
 Brunner Erich                 |          1
 Offi                          |          1
 susanne.bleisch               |          1
 lae                           |          1
 hp                            |          1
 B. Thomi                      |          1
 K. Lienhard AG                |          1
 Ing.- Vermessungsbüro Baumann |          1
 pipemapper                    |          1
 Giovanoli                     |          1
 c.k.                          |          1
 mr. spock                     |          1
 Magdalen                      |          1
 jag84                         |          1
 edusenvic                     |          1
 Daniel Ebneter                |          1
 R                             |          1
 kst                           |          1
 Stefan Reschke                |          1
 Daniela Dammert               |          1
 ad                            |          1
 Monika                        |          1
 Thomas Mösch                  |          1
 so                            |          1
 Cavegn                        |          1
 usd                           |          1
 ich                           |          1
 Ingold                        |          1
 Sigrist                       |          1
 wf                            |          1
 Martha Imber                  |          1
 Holzinger                     |          1
 AB                            |          1
 Georg Budmiger                |          1
 Simon Dummermuth              |          1
 claudius bösiger              |          1
 Chrümi                        |          1
 Frank                         |          1
 D.Marcandella                 |          1
 Minder Rolf                   |          1
 andreas                       |          1
 test                          |          1
 Björn Störn                   |          1
 j,zfh                         |          1
 slu.ch                        |          1
 angiolini                     |          1
 xy                            |          1
 Marisa Niederer               |          1
 Cornelia Wyss                 |          1
 mh                            |          1
 Wappu2000                     |          1
 Thomas Meller                 |          1
 Beger                         |          1
 Sandor Burgy                  |          1
 Kolja                         |          1
 phono                         |          1
 zurich                        |          1
 Litscher Mario                |          1
 Uligan                        |          1
 C. Heiniger                   |          1
 Risch                         |          1
 Mike                          |          1
 Photogrammetrie Perrinjaquet  |          1
 laru                          |          1
 Rentsch                       |          1
 Christian Haering             |          1
 md                            |          1
 gage                          |          1
 huder                         |          1
 Dirk Burghardt                |          1
 Peter Zberg                   |          1
 mlu                           |          1
 Tobias Hösli                  |          1
 mbi                           |          1
 MartinV                       |          1
 Daniel Soller                 |          1
 Regis                         |          1
 wp                            |          1
 Priska                        |          1
 Urs Sauter                    |          1
 Andreas Bröchin               |          1
 M. HOfstetter                 |          1
 maccyz                        |          1
 ferrini                       |          1
 Florian Streuli               |          1
 pawn                          |          1
 dwi                           |          1
 Staudacher                    |          1
 da Costa                      |          1
 Roger                         |          1
 nopogo89                      |          1
 Daniel                        |          1
 Schmid                        |          1
 Lea FLuri                     |          1
 Vèronique                     |          1
 Renè Meier                    |          1
 Biit                          |          1
 Nelly  Wyss                   |          1
 Daniel Burckhardt             |          1
 hug                           |          1
 Eichi                         |          1
 Sara Gubser                   |          1
 Mieger                        |          1
 Hj Bähler                     |          1
 Ghost61                       |          1
 leer                          |          1
 Nicole Soller                 |          1
 Brosi                         |          1
 debyst                        |          1
 Neverland                     |          1
 age                           |          1
 fb                            |          1
 Karin Hasler                  |          1
 Lisa                          |          1
 tric                          |          1
 Yvonne Lüdi                   |          1
 DS                            |          1
 Michael Mächler               |          1
 David Huber                   |          1
 testadd                       |          1
 silv                          |          1
 Jailbird                      |          1
 Gudrun Haas                   |          1
 Leuenberger                   |          1
 KoS                           |          1
 pifx                          |          1
 Seng Duong                    |          1
 nomeez                        |          1
 blazer82                      |          1
 caracol                       |          1
 Mammut                        |          1
 Fabian Riechsteiner           |          1
 Gusset                        |          1
 EW                            |          1
 Christoph Imber               |          1
 Claude Folly                  |          1
 ha                            |          1
 classen                       |          1
 nico                          |          1
 EdWohlfahrt                   |          1
 M.Hofstetter                  |          1
 Andre                         |          1
 Connectum GmbH                |          1
 JR                            |          1
 BEATLE98                      |          1
 M. Hofstetter                 |          1
 Alex                          |          1
 dbosshar@hsr.ch               |          1
 Jan Sterren                   |          1
 Christoph Marko               |          1
 Privatklinik Meiringen        |          1
 Studi                         |          1
 daniel                        |          1
 nw1                           |          1
 HK                            |          1
 Corluka Bettina               |          1
 RCT                           |          1
 AnalysenAdresse               |          1
 harald                        |          1
 Flo                           |          1
 Herzig                        |          1
 Bruder Franz                  |          1
(536 rows)

